rank,ranking_change,player,age,points,tourn_played
1,0,Iga Swiatek,22,9880,19
2,0,Aryna Sabalenka,25,8905,16
3,1,Elena Rybakina,24,6811,18
4,-1,Coco Gauff,19,6660,19
5,0,Jessica Pegula,29,5905,20
6,0,Ons Jabeur,29,4076,20
7,0,Marketa Vondrousova,24,3966,16
8,0,Maria Sakkari,28,3770,24
9,0,Karolina Muchova,27,3590,14
10,0,Barbora Krejcikova,28,2945,21
11,0,Beatriz Haddad Maia,27,2920,23
12,0,Jelena Ostapenko,26,2883,23
13,1,Qinwen Zheng,21,2790,23
14,1,Liudmila Samsonova,25,2760,24
15,3,Daria Kasatkina,26,2758,25
16,0,Veronika Kudermetova,26,2680,25
17,0,Petra Kvitova,33,2635,16
18,-5,Madison Keys,28,2608,17
19,0,Belinda Bencic,26,2547,16
20,0,Caroline Garcia,30,2330,27
21,0,Ekaterina Alexandrova,29,2075,24
22,1,Victoria Azarenka,34,2011,21
23,2,Elina Svitolina,29,1972,14
24,-2,Magda Linette,31,1896,24
25,-1,Donna Vekic,27,1865,21
26,0,Sorana Cirstea,33,1746,23
27,1,Anastasia Potapova,22,1706,21
28,-1,Anhelina Kalinina,26,1630,26
29,1,Elise Mertens,28,1551,23
30,-1,Jasmine Paolini,28,1530,29
31,0,Emma Navarro,22,1530,30
32,0,Lesia Tsurenko,34,1452,19
33,0,Lin Zhu,29,1420,25
34,1,Xinyu Wang,22,1395,24
35,1,Marie Bouzkova,25,1382,24
36,-2,Leylah Fernandez,21,1355,25
37,2,Karolina Pliskova,31,1346,21
38,-1,Sofia Kenin,25,1305,20
39,3,Varvara Gracheva,23,1290,27
40,1,Petra Martic,32,1283,20
41,-3,Marta Kostyuk,21,1223,22
42,1,Tatjana Maria,36,1215,32
43,1,Sloane Stephens,30,1202,21
44,1,Caroline Dolehide,25,1193,26
45,2,Elisabetta Cocciaretto,22,1179,20
46,2,Anna Blinkova,25,1170,28
47,11,Mirra Andreeva,16,1168,12
48,1,Peyton Stearns,22,1168,25
49,1,Katerina Siniakova,27,1150,21
50,1,Arantxa Rus,33,1149,28
51,-11,Linda Noskova,19,1143,22
52,4,Clara Burel,22,1140,21
53,0,Sara Sorribes Tormo,27,1126,16
54,0,Danielle Collins,30,1121,19
55,0,Camila Giorgi,32,1120,20
56,-4,Lucia Bronzetti,25,1099,30
57,0,Katie Boulter,27,1085,22
58,1,Mayar Sherif,27,1053,26
59,1,Anastasia Pavlyuchenkova,32,1046,18
60,-14,Martina Trevisan,30,1045,23
61,0,Cristina Bucsa,26,1035,30
62,9,Xiyu Wang,22,1034,26
63,-1,Nadia Podoroska,26,1009,29
64,-1,Yulia Putintseva,29,1002,26
65,-1,Greet Minnen,26,999,21
66,0,Ana Bogdan,31,956,23
67,6,Anna Karolina Schmiedlova,29,949,23
68,-1,Yanina Wickmayer,34,949,21
69,0,Bernarda Pera,29,943,23
70,6,Diane Parry,21,943,37
71,3,Elina Avanesyan,21,939,23
72,-2,Magdalena Frech,26,937,29
73,4,Yue Yuan,25,925,30
74,-6,Paula Badosa,26,922,13
75,5,Anna Kalinskaya,25,918,21
76,-4,Lauren Davis,30,906,21
77,-2,Viktoriya Tomova,28,906,29
78,0,Ashlyn Krueger,19,896,28
79,2,Camila Osorio,22,876,21
80,2,Taylor Townsend,27,870,18
81,2,Tamara Korpatsch,28,847,29
82,2,Alycia Parks,23,838,28
83,3,Aliaksandra Sasnovich,29,831,26
84,3,Jaqueline  Cristian,25,831,30
85,3,Linda Fruhvirtova,18,829,28
86,3,Kayla Day,24,825,26
87,3,Zhuoxuan Bai,21,820,24
88,3,Emina Bektas,30,820,23
89,3,Laura Siegemund,35,814,16
90,-5,Viktorija Golubic,31,812,22
91,3,Oceane Dodin,27,810,32
92,1,Nao Hibino,29,808,27
93,3,Kamilla Rakhimova,22,793,29
94,-29,Rebeka Masarova,24,786,22
95,2,Diana Shnaider,19,785,21
96,2,Dayana Yastremska,23,777,29
97,5,Yafan Wang,29,771,21
98,3,Renata Zarazua,26,764,33
99,4,Tamara Zidansek,26,755,23
100,7,Clara Tauson,21,749,22
